id,response,participant_id,timestamp,age_group
1,"I've been feeling soooo burnt out lately... work just never stops &amp; I can't find time for myself",P001,2025-03-15 09:23:41,26-35
2,"My manager expects me to be available 24/7 and it's destroying my mental health. I don't know how much longer I can keep this up.",P002,2025-03-15 10:45:22,36-45
3,"Finally set some boundaries at work!!! Told my boss I won't answer emails after 6pm and it feels AMAZING",P003,2025-03-15 11:12:08,26-35
4,"The flexibility of working from home has been life-changing for me. I can actually pick up my kids from school now.",P004,2025-03-15 14:33:56,36-45
5,"idk",P005,2025-03-15 15:02:19,18-25
6,"Work-life balance? What's that??? I haven't had a real vacation in 3 years...",P006,2025-03-15 16:45:33,46-55
7,"I'm definately struggling to seperate my work life from my personal life since everything happens in my living room now",P007,2025-03-16 08:17:42,26-35
8,"Burnout is realllly affecting my relationships. I come home exhausted and have nothing left to give to my family.",P008,2025-03-16 09:28:15,36-45
9,"Started taking my lunch breaks outside instead of at my desk &amp; it's made such a difference in how I feel",P009,2025-03-16 10:55:03,26-35
10,"THE STRESS IS UNBEARABLE. I wake up at 3am thinking about work emails.",P010,2025-03-16 11:33:47,46-55
11,"I've learned that saying no to extra projects isn't selfish, it's necessary for my wellbeing",P011,2025-03-16 13:22:18,36-45
12,"My friends have been AMAZING support system, I definately couldn't have gotten through this without them",P012,2025-03-16 14:45:29,26-35
13,"Loneliness has been hitting me hard lately   especially since I moved to a new city for work",P013,2025-03-16 15:18:42,18-25
14,"I'm so grateful for my book club - it's the only social interaction I get some weeks &amp; it keeps me sane",P014,2025-03-16 16:02:55,56+
15,"fine I guess",P015,2025-03-17 08:33:21,18-25
16,"Community involvement has given me a sense of purpose. Volunteering at the food bank every Saturday makes me feel connected to something bigger.",P016,2025-03-17 09:47:38,56+
17,"I wanna make more friends but it's sooo hard as an adult. Everyone already has their established friend groups.",P017,2025-03-17 10:22:14,26-35
18,"My support network helped me through my divorce. Without them I would have been completely lost.",P018,2025-03-17 11:55:06,46-55
19,"Ughhh social media makes me feel MORE lonely not less. Seeing everyone's perfect lives while I'm sitting alone...",P019,2025-03-17 13:08:33,18-25
20,"I've been making an effort to call my parents more often.  It's strengthened our relationship so much.",P020,2025-03-17 14:29:47,26-35
21,"Joined a hiking group last month and it's been wonderful!!! Finally found my people &quot;in the wild&quot; haha",P021,2025-03-17 15:44:22,36-45
22,"The pandemic really showed me who my true friends are. Some friendships faded but the ones that remained are stronger than ever.",P022,2025-03-17 16:18:09,36-45
23,"I occassionally feel like I don't belong anywhere. Like I'm always on the outside looking in.",P023,2025-03-18 08:05:41,18-25
24,"Therapy has helped me learn to manage my anxiety, I'm finally starting to feel like myself again",P024,2025-03-18 09:33:28,26-35
25,"Self-care isn't selfish!!! I had to learn this the hard way after years of putting everyone else first",P025,2025-03-18 10:47:15,46-55
26,"Mindfulness meditation has been kinda transformative for me. I never thought I'd be someone who meditates but here I am.",P026,2025-03-18 11:22:39,36-45
27,"I've been seeing a therapist for 6 months now &amp; I wish I had started sooner. The stigma kept me away for too long.",P027,2025-03-18 13:15:52,26-35
28,"Ahhh the anxiety never really goes away does it? But I'm learning to live with it rather than fight against it.",P028,2025-03-18 14:38:06,36-45
29,"nothing",P029,2025-03-18 15:02:44,18-25
30,"I recieve so much comfort from my daily journaling practice. It helps me process my emotions before they overwhelm me.",P030,2025-03-18 16:29:18,46-55
31,"FINALLY found a medication that works for my depression without terrible side effects. It took 3 years of trying different things.",P031,2025-03-19 08:44:33,26-35
32,"Breathing exercises sound stupid but they actually help??? I was so skeptical at first",P032,2025-03-19 09:57:21,18-25
33,"My coping mechanisms used to be unhealthy - drinking, avoiding problems. Now I have better tools thanks to therapy.",P033,2025-03-19 10:28:47,36-45
34,"I'm gonna keep working on myself even when it's hard. Mental health is a journey not a destination.",P034,2025-03-19 11:45:09,26-35
35,"The hardest part of managing anxiety is that nobody can see it. People think I'm fine because I look fine on the outside.",P035,2025-03-19 13:12:36,36-45
36,"Self-care for me means setting boundaries   saying no to things that drain my energy   and prioritizing sleep",P036,2025-03-19 14:33:58,46-55
37,"I feeeeling like I'm finally making progress with my mental health. It's been a long road but I can see the light.",P037,2025-03-19 15:47:22,26-35
38,"Overall I'd say I'm pretty happy with my life right now. I have a stable job, good health, and people who love me.",P038,2025-03-19 16:18:44,46-55
39,"I've found that gratitude journaling has completely shifted my perspective. Focusing on what I have rather than what I lack.",P039,2025-03-20 08:29:15,56+
40,"Life satisfaction is sorta complicated for me. Some days I feel fulfilled, other days I wonder what's the point.",P040,2025-03-20 09:42:38,26-35
41,"I LOVE MY LIFE!!! Took 40 years to get here but I finally feel at peace with who I am",P041,2025-03-20 10:55:21,46-55
42,"Happiness comes and goes but contentment is what I'm really after. That deeper sense of being okay with things.",P042,2025-03-20 11:28:47,56+
43,"Finding meaning in small moments has been important for me... a good cup of coffee, a sunset, a laugh with friends",P043,2025-03-20 13:15:33,36-45
44,"I definately feel more fulfilled since I started prioritizing experiences over things. Less stuff, more memories.",P044,2025-03-20 14:38:59,26-35
45,"meh",P045,2025-03-20 15:02:16,18-25
46,"Gratitude practice has been helpful but sometimes it feels forced??? Like I'm trying to convince myself to be happy",P046,2025-03-20 16:29:42,26-35
47,"I've learned that happiness isn't about having a perfect life. It's about appreciating the imperfect life you have.",P047,2025-03-21 08:44:18,46-55
48,"My relationships bring me the most satisfaction. Career achievements feel empty without people to share them with.",P048,2025-03-21 09:57:35,36-45
49,"I wanna feel more fulfilled but I don't know what's missing. I have everything I'm supposed to want but still feel empty.",P049,2025-03-21 10:28:51,26-35
50,"THE LITTLE THINGS MATTER. A stranger's smile, a good book, sunshine on my face - that's where I find joy.",P050,2025-03-21 11:45:27,56+
51,"Learning new skills at 55 has been incredibly rewarding!!! Just started playing guitar and I love it",P051,2025-03-21 13:12:43,56+
52,"I'm constantly working on self-improvement &amp; sometimes I wonder if I'll ever feel like I'm &#39;enough&#39;",P052,2025-03-21 14:33:69,26-35
53,"Personal growth is uncomfortable but necessary. Staying the same is more painful than changing.",P053,2025-03-21 15:47:22,36-45
54,"I've set some ambitious goals for this year. Gonna run a marathon, learn Spanish, and read 50 books.",P054,2025-03-21 16:18:38,26-35
55,"Challenges have made me who I am. Every difficult experience taught me something valuable about myself.",P055,2025-03-22 08:29:14,46-55
56,"ughhh why is personal growth so hard??? Every time I think I've figured something out, something new comes up",P056,2025-03-22 09:42:31,18-25
57,"I've been working on being less of a people pleaser. It's realllly challenging to put my own needs first.",P057,2025-03-22 10:55:47,36-45
